GasCost;Avg-assignments;Avg-blank-lines;Avg-commas;Avg-comments;Avg-comparisons;Avg-identifier-length;Avg-conditionals;Avg-indentation-length;Avg-keywords;Avg-line-length;Avg-loops;Avg-number-of-identifiers;Avg-numbers;Avg-operators;Avg-parenthesis;Avg-periods;Avg-spaces;Max-identifier-length;Max-indentation-length;Max-keywords;Max-line-length;Max-number-of-identifiers;Max-numbers;Max-occurrences-single-character;Max-occurrences-single-identifier
0,001398;0,040816327;0,081632653;0,102040816;0,367346939;0,183673469;1,653968254;0,020408163;3,123333333;0,204081633;26,04;0;0,571428571;0,12244898;0,142857143;0,857142857;0;3,285714286;6;6;10;72;28;6;17;3
0,01190522;0,133333333;0,177777778;0,111111111;0,288888889;0,133333333;9,625;0;2,426666667;0,2;100,2;0,044444444;0,933333333;0,266666667;0,088888889;1,733333333;0,311111111;3,311111111;18;6;9;141;42;12;58;9
0,03817848;0,128205128;0;0,066666667;0,123076923;0,107692308;6,206463244;0,020512821;6,808333333;0,153846154;30,06205357;0,015384615;0,723076923;0,133333333;0,030769231;0,851282051;0,133333333;1,364102564;19;20;30;106;141;26;44;8
0,00139824;0,076923077;0;0,153846154;0;0,307692308;1,567460317;0,038461538;6,308333333;0,307692308;24,13958333;0;0,884615385;0,153846154;0,192307692;1,307692308;0;2,653846154;6;12;8;71;23;4;15;3
0,00139824;0,097826087;0,065217391;0,119565217;0,195652174;0,152173913;1,646664447;0,032608696;7,236533075;0,130434783;19,37942463;0,02173913;0,52173913;0,217391304;0,097826087;0,913043478;0;6,47826087;7;16;12;51;48;20;13;5
0,01721558;0,15503876;0,100775194;0,031007752;0,201550388;0,03875969;5,771915584;0,007751938;6,84489677;0,07751938;30,00639222;0;0,480620155;0,325581395;0,03875969;0,697674419;0,248062016;4,248062016;16;12;10;98;62;42;49;11
0,01909268;0,109375;0,140625;0,234375;0;0,203125;6,270538985;0;6,547845805;0,109375;40,74943311;0;1,453125;0,09375;0,203125;1;0,15625;8,65625;16;8;7;101;93;6;34;9
0,02139916;0,055172414;0,075862069;0,144827586;0,55862069;0,089655172;6,295650183;0,006896552;6,731746032;0,055172414;47,41706349;0;0,696551724;0,04137931;0,165517241;0,537931034;0,082758621;5,6;16;12;8;106;101;6;64;9
0,01010286;0,111111111;0;0,666666667;0;0,111111111;5,647058824;0;8;0,111111111;53,66666667;0,111111111;1,888888889;0,222222222;0,222222222;1,333333333;0,444444444;8;13;12;1;111;17;2;26;6
0,00589448;0,095238095;0;0,095238095;0;0;6,395833333;0;6;0,095238095;27,5625;0;0,666666667;0;0,047619048;1,142857143;0,047619048;6;13;8;2;92;14;0;11;1
